OBJECTID *,Stop Number,Latitude,Longitude,Type,Lights,Trash Can Orig,Trash Can,Color,GlobalID *,Stop_Name
281,8216,41.656698,-91.572551,Shelter,Solar,Yes,Trash Can Is Available,#e60073,{B745B1F4-E220-433D-A389-96BFD5A5E528},Melrose Ave & Finkbine Ln
10315,7341,<Null>,<Null>,Stop,No,No,Trash Can Not Available,#0073e6,{A78996DE-5F29-4FFD-85CC-DA80D7E18978},Whispering Prairie @ Whispering Meadow
30,7019,41.6408,-91.5281,Stop,No,No,Trash Can Not Available,#0073e6,{B1C37655-A936-4957-BCF2-69B6002D41B2},Boyrum St & Southgate Ave
268,8200,41.66375,-91.552278,Stop,No,No,Trash Can Not Available,#0073e6,{4E93CA57-E135-4C2E-881C-B1DAD84AFCD4},Newton Rd & Valley Ave
269,8200,41.66375,-91.552278,Stop,No,No,Trash Can Not Available,#0073e6,{801CC299-6F50-409D-8593-26F4AB7124FE},Newton Rd - Dental College
42,7053,41.633454,-91.501584,Shelter,Solar,No,Trash Can Not Available,#0073e6,{119CCE92-CDB0-4A75-9F8E-648A1E0FF1D0},Lakeside Dr & Nevada Ave
23,7012,41.649343,-91.5319,Stop,No,No,Trash Can Not Available,#0073e6,{13476379-9C35-4359-B391-6DA1ED06175A},Gilbert St & Kirkwood Ave
326,8271,41.641223,-91.566961,Stop,No,No,Trash Can Not Available,#0073e6,{043E8079-76FA-4F31-AF31-A3DB4AB41407},Westside Dr & Jeffrey St
244,8090,41.676289,-91.556519,Shelter,No,No,Trash Can Not Available,#0073e6,{22457083-3EA7-4DDD-B0A6-E94E287D8274},Walker Circle & Moses Bloom Ln
256,8112,41.653257,-91.559505,Shelter,Solar,No,Trash Can Not Available,#0073e6,{BC749981-C507-43D9-B542-635251C8FE24},Sunset St & Marietta Ave
7,256,41.663266,-91.545024,Shelter,No,No,Trash Can Not Available,#0073e6,{F1C745A4-3BE8-4C5A-AC94-0357B3A0D621},Newton Rd - MERF
39,7039,41.636926,-91.518285,Stop,No,No,Trash Can Not Available,#0073e6,{F8B1D5E0-BBEF-46D6-B6A0-DA5AC9A85DD1},Taylor Dr & Sandusky Dr
218,8015,41.647384,-91.544184,Stop,No,No,Trash Can Not Available,#0073e6,{A3B36B13-DA1D-4071-81C0-996BFEC5C89D},Hwy 1 West @ Slagers
113,7247,41.657725,-91.521328,Stop,No,No,Trash Can Not Available,#0073e6,{ADD8AAB3-0C8F-428A-9A76-D0EB806F1945},Burlington St and Summit St
213,8006,41.650233,-91.540074,Stop,No,No,Trash Can Not Available,#0073e6,{79E7DF88-E121-4406-BB29-AA2E75BCBBEB},Riverside Dr & Benton St
81,7132,41.636438,-91.483296,Shelter,No,No,Trash Can Not Available,#0073e6,{0A4BBC8D-F4E1-45C8-993C-93467B9B3152},Heinz Rd & Scott Blvd
260,8118,41.652588,-91.551566,Stop,No,No,Trash Can Not Available,#0073e6,{02A2C955-CB1C-4A8D-BF34-6E574055CD7B},Oakcrest St & Woodside Dr
195,7532,41.671801,-91.525407,Stop,No,No,Trash Can Not Available,#0073e6,{26BE75D5-ABE1-4B87-B1F6-E1A93B48851A},900 North Dodge St
173,7440,41.663545,-91.522672,Stop,No,No,Trash Can Not Available,#0073e6,{F381610B-85A4-4147-AA51-FFA86F845A76},Market St & Governor St
100,7221,41.674885,-91.522109,Stop,No,No,Trash Can Not Available,#0073e6,{115280D8-FCEC-4DA1-8EA1-B5F9D558875C},North Dodge St
82,7134,41.6415,-91.50583,Stop,No,No,Trash Can Not Available,#0073e6,{010CD186-73C9-48BB-B50B-7F8B84D87F9D},Eastdale Plaza
127,7262,41.647489,-91.49404,Shelter,No,No,Trash Can Not Available,#0073e6,{FCB19633-706C-4B39-9757-AA3505C901D3},Wayne Ave & Dover St
56,7078,41.656679,-91.537552,Stop,No,No,Trash Can Not Available,#0073e6,{D6E8E8B4-DD42-4FAF-9A73-B8DF5AA6B72C},Court St & Madison St
57,7078,41.656679,-91.537552,Stop,No,No,Trash Can Not Available,#0073e6,{285E1132-12A9-4322-A289-BDB52090B401},Court St & Madison St
294,8270,41.63876,-91.565766,Shelter,No,Yes,Trash Can Is Available,#e60073,{EC4345F7-ABB2-410C-A353-27E4DA2064B2},Westside Dr & Earl Rd
258,8114,41.65174,-91.559452,Stop,No,No,Trash Can Not Available,#0073e6,{56E3D940-2479-4F8B-9EC2-B521B1BC4689},Sunset St & Oakcrest St<br />stp_d
10314,7306,<Null>,<Null>,Stop,No,No,Trash Can Not Available,#0073e6,{F847E03C-00BD-4853-9206-98A37BC1ECE8},Washington St @ Dodge St
69,7109,41.649484,-91.525934,Stop,No,No,Trash Can Not Available,#0073e6,{CC4339B3-BDF4-40EC-ADA9-7E278AC4F301},Kirkwood Ave & Dodge St
315,8346,41.644059,-91.596782,Stop,No,No,Trash Can Not Available,#0073e6,{C1651996-1315-4EAB-A93F-203793BEC3AE},Rohret Rd - Irving Weber School
197,7534,41.66749,-91.52575,Stop,No,No,Trash Can Not Available,#0073e6,{40C64BCD-EDE4-4FF1-8037-4667A8666703},North Dodge St & Church - Horace Mann Elementary
329,7223,41.64846,-91.57404,Stop,No,No,Trash Can Not Available,#0073e6,{9BC3F4AA-8784-4EB8-85A9-9B4B161165F6},Mormon Trek Blvd & W Benton St
240,8086,41.679926,-91.548289,Shelter,No,No,Trash Can Not Available,#0073e6,{98BB7455-0D30-4FA6-8797-A56C03FA1EE0},Foster Rd & Algonquin Rd
108,7237,41.656798,-91.511489,Stop,No,No,Trash Can Not Available,#0073e6,{61E1845E-1B81-4268-AFAB-21EC127C12D1},Court St & 7th Ave
159,7421,41.666516,-91.501408,Shelter,No,No,Trash Can Not Available,#0073e6,{1BB32DB9-0416-4283-B571-CB75D6B2729C},Rochester Ave & 1st Ave
212,8004,41.649477,-91.520825,Stop,No,No,Trash Can Not Available,#0073e6,{583430EA-5380-4A6C-B1A8-A487C57EC486},Kirkwood Ave & Summit St
12,7002,41.656551,-91.533343,Stop,No,Yes,Trash Can Is Available,#e60073,{DB4CBFD9-F668-44FA-BC1A-F1534EEDCFCF},Court St & Dubuque St
74,7002,41.656551,-91.533343,Stop,No,Yes,Trash Can Is Available,#0073e6,{6AF048F7-4F46-46C0-BD2B-24EAAA3E7F1B},Lower Muscatine Ave & Pine St
327,8330,41.654167,-91.57405,Stop,No,No,Trash Can Not Available,#0073e6,{7111CFAC-1A73-4639-86CD-A8071A7B8B14},Mormon Trek Blvd & Bartelt Rd
77,7126,41.631385,-91.490295,Stop,No,No,Trash Can Not Available,#0073e6,{E54FDF8E-9410-4E2C-9EC0-F9B3696E2D06},Hwy 6 East & Heinz Rd
162037,1539,<Null>,<Null>,Stop,No,<Null>,Trash Can Not Available,#0073e6,{0B446307-DB3A-40DE-9952-BF8720DA1DAF},Benton St @ Streb St
92,7213,41.656887,-91.497116,Stop,No,No,Trash Can Not Available,#0073e6,{4E87AD15-7A91-4B05-AF84-C271C05A992C},Court St @ Washington Park Rd
128,7263,41.646928,-91.491164,Stop,No,No,Trash Can Not Available,#0073e6,{77EB831E-13A8-4833-BD5F-E6BA828ED1A1},Wayne Ave & Village Rd
137,7311,41.656853,-91.501806,Stop,No,No,Trash Can Not Available,#0073e6,{E1B60C7F-DB8E-42D5-99A2-FA37A1E1CB94},Court St & 1st Ave
71,7111,41.649486,-91.523301,Stop,No,No,Trash Can Not Available,#0073e6,{11F2B278-4648-4068-A5DB-1BAFE261A025},Kirkwood Ave & Keokuk St
152,7339,41.66336,-91.471937,Stop,No,No,Trash Can Not Available,#0073e6,{540A862C-686D-4298-9585-F41BCADC8A69},York Pl & Brentwood Ln
190,7517,41.63503,-91.49792,Stop,No,No,Trash Can Not Available,#0073e6,{8A9C4BCE-FD65-4B6C-A340-64D6E95BA2B6},Lakeside Dr & Hwy 6
131,7268,41.6497,-91.4938,Stop,No,No,Trash Can Not Available,#0073e6,{EF17BDB6-7E6F-4238-BE9D-8213E7940B27},Muscatine Ave & Dover St
64,7102,41.643325,-91.508289,Stop,No,No,Trash Can Not Available,#0073e6,{7674B970-B1F4-46D6-B404-1AC9A84E627D},Lower Muscatine Ave Iowa City Marketplace
157,7409,41.663984,-91.518208,Temp Closed,No,No,Trash Can Not Available,#0073e6,{4A4395CE-3DF3-44D8-959C-2FD6D0EC0CEC},Rochester Ave @ Mott St.
287,8232,41.638147,-91.50379,Stop,No,No,Trash Can Not Available,#0073e6,{2BD731D3-EC20-47BD-89EC-B409948ADB2A},Hollywood Blvd. @ Fairmeadows Blvd.
117,7252,41.656595,-91.514579,Stop,No,No,Trash Can Not Available,#0073e6,{DFA32FF7-1365-4AAD-8714-375FA0255993},Muscatine Ave & Court St
291,8242,41.656869,-91.577568,Stop,No,No,Trash Can Not Available,#0073e6,{1E15F329-1B87-4338-9E6C-F75CAB20984F},Westwinds Dr @ Melrose Ave
116,7250,41.657322,-91.515631,Stop,No,No,Trash Can Not Available,#0073e6,{E7F2D4AC-D5B0-4799-B293-13F8CE2B0F37},Court St @ Muscatine Ave
119,7254,41.65446,-91.511527,Stop,No,No,Trash Can Not Available,#0073e6,{FC033D77-69B1-4576-964B-CBC5B32C0BB7},Muscatine Ave & 7th Ave
73,7115,41.64941,-91.515591,Stop,No,No,Trash Can Not Available,#0073e6,{FE8AA08B-7191-4462-868B-31035AF63B35},Kirkwood Ave &  Franklin St
207,7750,41.649508,-91.532305,Stop,No,No,Trash Can Not Available,#0073e6,{88B2DE80-0A4F-4329-BA31-224D2A20CC2A},Kirkwood Ave & Gilbert St
215,8012,41.646335,-91.549913,Stop,No,No,Trash Can Not Available,#0073e6,{11862614-AA02-48D1-890A-6D35FA7F9AC9},Ruppert Rd & Hwy 1 West
47,7060,41.63538,-91.518202,Stop,No,No,Trash Can Not Available,#0073e6,{9C44B38D-A9AF-4802-A504-32662270001B},Burns Ave & Taylor Dr
228,8067,41.633351,-91.500105,Stop,No,No,Trash Can Not Available,#0073e6,{9818290A-BC82-4869-A180-D45440888F72},Lakeside Dr @ Whispering Prairie Ave
27,7016,41.645848,-91.531827,Stop,No,No,Trash Can Not Available,#0073e6,{731DEEBD-021B-412C-BB78-41629030D4D1},Highland Ave @ Gilbert St
87,7206,41.663606,-91.531451,Stop,No,No,Trash Can Not Available,#0073e6,{36BDE4F9-D97F-4654-AE6C-EE180F3847C4},Market St & Linn St
211,8003,41.653157,-91.540303,Stop,No,No,Trash Can Not Available,#0073e6,{0C594BBC-173D-4E24-8693-021A43FA9E36},Riverside Dr @ Myrtle Ave
150,7337,41.660763,-91.468857,Stop,No,No,Trash Can Not Available,#0073e6,{C60DE5D4-35FA-4A31-B877-DBAF3BD0987E},Ashford Pl & Chadwick Pl
14,7003,41.656668,-91.533013,Stop,No,No,Trash Can Not Available,#0073e6,{7F23C9CB-8C89-4118-B0E7-479019F9137B},Court St & Dubuque St
176,7443,41.663591,-91.528273,Stop,No,No,Trash Can Not Available,#0073e6,{519C4A44-1EF7-49F9-BF64-D67B504EED47},Mercy Hospital
155,7401,41.662408,-91.531821,Stop,No,No,Trash Can Not Available,#0073e6,{E1624C6B-6A9B-43DD-88B7-AA113B2B5420},Jefferson St & Linn St
237,8082,41.684282,-91.540516,Stop,No,No,Trash Can Not Available,#0073e6,{724B5B4B-0BBF-4BB1-83EC-488E9113BFC1},Forest View Trailer Park
186,7509,41.676883,-91.51711,Stop,No,No,Trash Can Not Available,#0073e6,{CDA65328-296A-4CDB-BDB6-6F3A4B779914},North Dodge St @ Hy Vee
251,8106,41.656869,-91.554307,Stop,No,No,Trash Can Not Available,#0073e6,{CEDB03A2-D9D8-485F-860B-30AD12B9FC2C},Melrose Ave & Koser Ave
88,7207,41.662626,-91.534682,Stop,No,No,Trash Can Not Available,#0073e6,{D20E5783-098E-46D8-9A58-278E8298BE75},Clinton St & Jefferson St
167,7434,41.661108,-91.488156,Stop,No,No,Trash Can Not Available,#0073e6,{7917D5D0-3691-4219-8F76-E4BE890B72B0},Washington St @ Lemme Elementary
286,8231,41.633519,-91.511535,Stop,No,No,Trash Can Not Available,#0073e6,{D24E8728-EA63-4188-B6D1-EF0BC8AB5DDA},Lakeside Dr. @ Sycamore St
254,8110,41.655648,-91.559595,Stop,No,No,Trash Can Not Available,#0073e6,{67EA4874-5C75-4ABF-BD5B-C36F17DFA882},Sunset St & Melrose Ave
232,8071,41.660151,-91.483815,Stop,No,No,Trash Can Not Available,#0073e6,{42649719-CECB-4D2F-A9C2-696FB8FBEED5},Washington St @ Amhurst St.
120,7256,41.651861,-91.5077,Stop,No,No,Trash Can Not Available,#0073e6,{76446F48-ACA3-4F0D-BD4D-812EAE394542},Muscatine Ave & 5th Ave
224,8061,41.660381,-91.482117,Stop,No,No,Trash Can Not Available,#0073e6,{2C58C247-36B6-4680-B0FE-0FCFBDADF1EF},N. Scott Blvd @ E Washington St.
90,7211,41.657033,-91.484605,Stop,No,No,Trash Can Not Available,#0073e6,{E7A0B2A1-6CC4-4035-88F8-CD2FEAB61917},Court St @ Friendship St
239,8085,41.68002,-91.548324,Stop,No,No,Trash Can Not Available,#0073e6,{D7AAE77A-2B0D-4D58-A342-A1EBF81C767E},Foster Rd & Algonquin Rd
325,8273,41.637592,-91.568094,Stop,No,No,Trash Can Not Available,#0073e6,{20FE439B-257F-46E7-878A-1802735F6A03},Westside Dr & Morman Trek Blvd
61872,7419,<Null>,<Null>,Stop,No,No,Trash Can Not Available,#0073e6,{2FBC1196-F8C4-4811-9015-7E644E6AA859},Regina Education Center - Inbound
115,7249,41.657774,-91.516603,Stop,No,No,Trash Can Not Available,#0073e6,{67A4BC69-8C46-47A3-9A58-EB719801F581},Burlington St & Muscatine Ave
89,7209,41.659588,-91.473299,Stop,No,No,Trash Can Not Available,#0073e6,{DC63EC46-CA27-412F-AA1C-876CDF9E2F64},Kenneth Dr @ Gustav St
309,8070,41.64551,-91.598848,Stop,No,No,Trash Can Not Available,#0073e6,{1B503C31-59B6-4062-9056-08A6A981FF90},Wild Prairie Dr @ El Paso Dr
67,7108,41.6494,-91.5258,Stop,No,No,Trash Can Not Available,#0073e6,{17227A52-C4A0-4C9D-A771-4A6D57571A5B},Kirkwood Ave & Dodge St
68,7108,41.6494,-91.5258,Stop,No,No,Trash Can Not Available,#0073e6,{7831C14F-907A-4983-BFA1-91EB74677B22},Kirkwood Ave & Dodge St
134,7304,41.656807,-91.508584,Stop,No,No,Trash Can Not Available,#0073e6,{95C31B0D-A264-4D02-A77C-67099411ED2F},Court St & Morningside Dr
299,8345,41.65926,-91.549833,Stop,No,No,Trash Can Not Available,#0073e6,{BD758539-C2C9-45AD-B2DA-E4E76492CA41},Hawkins Dr @ Hospital Loop Dr
162045,7108,41.6494,-91.5258,Stop,No,No,Trash Can Not Available,#0073e6,{AF3C2189-A810-46B7-94BD-56D9BDF2D034},Lower Muscatine Rd @ Fairmeadows Blvd
222,8059,41.667003,-91.483005,Stop,No,No,Trash Can Not Available,#0073e6,{DE968C3D-11AF-4FC3-A4F0-3C7E56B2A4AB},Scott Blvd. @ Middlebury Rd.
267,8150,41.655546,-91.560114,Stop,No,No,Trash Can Not Available,#0073e6,{2DC548DE-C473-4D43-BF81-CE29730F7768},Melrose Ave & Sunset St
21,7010,41.651021,-91.531607,Stop,No,No,Trash Can Not Available,#0073e6,{93DD2F3F-F520-4161-8A3D-DA52D04B18F3},Gilbert St & Benton St
236,8081,41.6496,-91.564,Stop,No,No,Trash Can Not Available,#0073e6,{D26B4F37-7CDC-41FE-BAC6-619F0BC85077},Horn Elementary
285,8229,41.650926,-91.575577,Stop,No,No,Trash Can Not Available,#0073e6,{A14F03D3-DD53-4589-8B09-26B38EEA23C9},Westwinds Dr - Walden Plaza
318,8349,41.64604,-91.580815,Stop,No,No,Trash Can Not Available,#0073e6,{9234DBD0-9695-45CB-87AE-76B698BEBEE2},Rohret Rd & Shannon Dr
118,7253,41.654478,-91.511689,Stop,No,No,Trash Can Not Available,#0073e6,{806191DA-6C0C-4749-82CC-0998C678B47F},Muscatine Ave & 7th Ave
208,8000,41.63762,-91.489271,Shelter,No,No,Trash Can Not Available,#0073e6,{A8F88BD8-DFF9-4F32-A878-75EC90867A2E},ALPLA
235,8080,41.649634,-91.487479,Stop,No,No,Trash Can Not Available,#0073e6,{5AB36252-9C70-4CA9-B90D-37649AF10E9B},Village Green Blvd @ Muscatine Ave
26,7015,41.646353,-91.531932,Stop,No,No,Trash Can Not Available,#0073e6,{F71A7371-D71A-42CA-892D-A58D6BA10FEB},Gilbert St & 3rd Ave
180,7500,41.65672,-91.530291,Stop,No,No,Trash Can Not Available,#0073e6,{52EAEFCD-5903-4FCB-90CB-49A6EF365090},Gilbert St @ Court St
175,7442,41.66366,-91.525792,Stop,No,No,Trash Can Not Available,#0073e6,{4267A6F0-5692-47C0-B639-9D6A07273FBE},North Dodge St & Market St
10312,8334,<Null>,<Null>,Stop,No,No,Trash Can Not Available,#0073e6,{8C332A48-22FB-4440-979E-FB074C62D66D},Irving Ave @ Shannon Dr
144,7327,41.657,-91.4831,Stop,No,No,Trash Can Not Available,#0073e6,{F494F22A-1FEC-4164-94C7-35B6EF357298},Court St  & Peterson St
93,7214,41.641423,-91.505939,Stop,No,No,Trash Can Not Available,#0073e6,{6D543F0F-2358-457C-A747-AD518325E9A5},Earl May
249,8104,41.656842,-91.550136,Stop,No,No,Trash Can Not Available,#0073e6,{D6526000-8009-4DF7-A4D8-902216FA0ADE},Melrose Ave & Hawkins Dr<br />stp_dsc
34,7033,41.637383,-91.520839,Stop,No,No,Trash Can Not Available,#0073e6,{BC2DC4A4-EB59-4E3B-9DB3-E7599012CEF5},Sandusky Dr & Broadway St
111,7243,41.657952,-91.530024,Stop,No,No,Trash Can Not Available,#0073e6,{E46DBC91-6AC7-47BD-93C2-FF03A21AE3D0},Bulington St & Gilbert St - City Hall/Rec. Center
174,7441,41.663568,-91.52563,Stop,No,No,Trash Can Not Available,#0073e6,{2FC6887D-6BA9-4FAF-8884-9E8908253B70},Market St & Dodge St
168,7435,41.660602,-91.492265,Shelter,No,No,Trash Can Not Available,#0073e6,{1CB6D72A-52A1-4755-9D34-67A8015485AF},Washington St @ Westminster St
179,7454,41.662629,-91.537749,Stop,No,No,Trash Can Not Available,#0073e6,{A88C938E-58BF-4671-A6CA-888CF16DD07E},Madison St @ IMU
162043,7117,<Null>,<Null>,Stop,<Null>,<Null>,Trash Can Not Available,#0073e6,{2E310D62-C465-4D18-A308-DCE1710CF8D1},Lower Muscatine Rd @ Pine St
310,8340,41.68761,91.598278,Stop,No,No,Trash Can Not Available,#0073e6,{046CA4C6-7B29-4E40-84C2-338668947AA2},Wild Prairie Dr & Prairie Grass Ln
